Wall time,Step,Value
1778248343.9909084,248064000,-107.72534942626953
1778248921.211045,248832000,-155.2027130126953
1778249509.3401105,249600000,-77.7316665649414
1778250140.7377667,250368000,-221.0314483642578
1778250922.8407257,251136000,-197.58570861816406
1778251520.0500262,251904000,-70.37212371826172
1778252090.7162266,252672000,-176.38975524902344
1778252829.8846862,253440000,-183.62353515625
1778253472.743334,254208000,-133.58314514160156
1778254177.714214,254976000,-70.25756072998047
1778254770.8895378,255744000,-168.35018920898438
1778255313.064569,256512000,-144.73519897460938
1778255932.6185026,257280000,-192.65176391601562
1778256602.9676158,258048000,-82.43914031982422
1778257390.5791233,258816000,-198.79916381835938
1778258076.1675878,259584000,-238.9270477294922
1778258698.3573852,260352000,-147.6503143310547
1778259308.6283476,261120000,-175.7334747314453
1778259852.0241766,261888000,-92.17308044433594
1778260501.4784694,262656000,-262.0142517089844
1778261156.5719833,263424000,-81.2446060180664
1778261781.7067232,264192000,-187.5306396484375
1778262463.368026,264960000,-227.23826599121094
1778263019.826648,265728000,-49.00413131713867
1778263647.9318287,266496000,-230.64065551757812
1778264254.4258657,267264000,-71.28303527832031
1778264880.7930777,268032000,-57.82572937011719
1778265361.3278039,268800000,-392.80474853515625
1778265910.128528,269568000,-234.1888427734375
1778266551.674357,270336000,-191.42709350585938
1778267194.8247106,271104000,-314.8426513671875
1778267717.4161239,271872000,-76.18495178222656
1778268421.720655,272640000,-546.9793090820312
1778269015.92703,273408000,-181.200927734375
1778269672.4819021,274176000,-198.83441162109375
1778270385.6103566,274944000,-106.30567169189453
1778271140.0097685,275712000,-234.84381103515625
1778271778.3657062,276480000,-222.28004455566406
1778272484.4014912,277248000,-297.5715637207031
1778273027.568358,278016000,-326.62823486328125
1778273710.428847,278784000,-224.66143798828125
1778274385.559463,279552000,-322.85955810546875
1778274935.2597213,280320000,-73.65780639648438
1778275582.308799,281088000,-124.34575653076172
1778276248.9416075,281856000,-67.32939910888672
1778276797.6055355,282624000,-81.02191162109375
1778277458.4603508,283392000,-324.080078125
1778278170.2369065,284160000,-251.9755401611328
1778278919.5688753,284928000,-215.15049743652344
1778279618.3108637,285696000,-96.9513168334961
1778280336.228103,286464000,-81.71198272705078
1778280977.3243687,287232000,-202.98092651367188
1778281696.6502209,288000000,-265.8848571777344
